Thu Jan 25 19:10:25 2024    profiles/profile_data_after_correcting_generate_random_letter.prof

         31877092 function calls (29152756 primitive calls) in 9.985 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    25302    1.426    0.000    3.546    0.000 /mnt/c/Users/a073ffu/Downloads/卒論/Git/intseq/../intseq/src/program.py:238(build)
  1312141    1.113    0.000    4.407    0.000 /mnt/c/Users/a073ffu/Downloads/卒論/Git/intseq/../intseq/src/sequence_generator.py:24(append_letter)
  1312141    1.001    0.000    2.714    0.000 /mnt/c/Users/a073ffu/Downloads/卒論/Git/intseq/../intseq/src/sequence_generator.py:30(generate_random_letter)
1786422/118294    0.810    0.000    0.987    0.000 /mnt/c/Users/a073ffu/Downloads/卒論/Git/intseq/../intseq/src/program.py:20(bind)
1023201/25202    0.658    0.000    0.728    0.000 /mnt/c/Users/a073ffu/Downloads/卒論/Git/intseq/../intseq/src/program.py:24(find_free_variables)
  1337343    0.573    0.000    0.817    0.000 /usr/lib/python3.8/random.py:250(_randbelow_with_getrandbits)
  1312141    0.504    0.000    1.390    0.000 /usr/lib/python3.8/random.py:285(choice)
    25202    0.400    0.000    4.905    0.000 /mnt/c/Users/a073ffu/Downloads/卒論/Git/intseq/../intseq/src/sequence_generator.py:60(generate)
  1312817    0.369    0.000    1.359    0.000 /mnt/c/Users/a073ffu/Downloads/卒論/Git/intseq/../intseq/src/program.py:5(__init__)
    25302    0.297    0.000    0.426    0.000 /mnt/c/Users/a073ffu/Downloads/卒論/Git/intseq/../intseq/src/program.py:236(<listcomp>)
  1312141    0.272    0.000    0.272    0.000 /mnt/c/Users/a073ffu/Downloads/卒論/Git/intseq/../intseq/src/sequence_generator.py:47(update_program_num)
  1312141    0.233    0.000    0.233    0.000 {built-in method math.log}
  2626408    0.224    0.000    0.224    0.000 {method 'append' of 'list' objects}
      100    0.216    0.002    9.979    0.100 /mnt/c/Users/a073ffu/Downloads/卒論/Git/intseq/../intseq/src/sequence_generator.py:75(select_sequence)
   433451    0.206    0.000    0.310    0.000 /mnt/c/Users/a073ffu/Downloads/卒論/Git/intseq/../intseq/src/program.py:35(__init__)
  1312141    0.192    0.000    0.192    0.000 /mnt/c/Users/a073ffu/Downloads/卒論/Git/intseq/../intseq/src/sequence_generator.py:44(add_information_amount)
  2624282    0.186    0.000    0.186    0.000 {built-in method builtins.len}
  2809623    0.177    0.000    0.177    0.000 {method 'values' of 'dict' objects}
  1871335    0.150    0.000    0.150    0.000 {method 'getrandbits' of '_random.Random' objects}
   289221    0.145    0.000    0.214    0.000 /mnt/c/Users/a073ffu/Downloads/卒論/Git/intseq/../intseq/src/program.py:47(__init__)
  2625634    0.129    0.000    0.129    0.000 {built-in method builtins.ord}
  1312817    0.115    0.000    0.115    0.000 {built-in method builtins.isinstance}
  1287515    0.112    0.000    0.112    0.000 {method 'pop' of 'list' objects}
  1337343    0.094    0.000    0.094    0.000 {method 'bit_length' of 'int' objects}
   527296    0.065    0.000    0.065    0.000 /mnt/c/Users/a073ffu/Downloads/卒論/Git/intseq/../intseq/src/program.py:62(bind)
    83394    0.061    0.000    0.732    0.000 /mnt/c/Users/a073ffu/Downloads/卒論/Git/intseq/../intseq/src/program.py:132(__init__)
    25202    0.028    0.000    0.055    0.000 /usr/lib/python3.8/random.py:200(randrange)
    25202    0.019    0.000    0.074    0.000 /usr/lib/python3.8/random.py:244(randint)
